"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2026 21:15:00 - 01/01/2026 21:30:00","Germany (DE)","Fossil Gas","4481.33"
"01/01/2026 21:30:00 - 01/01/2026 21:45:00","Germany (DE)","Fossil Gas","4478.96"
"01/01/2026 21:45:00 - 01/01/2026 22:00:00","Germany (DE)","Fossil Gas","4484.43"
"01/01/2026 22:00:00 - 01/01/2026 22:15:00","Germany (DE)","Fossil Gas","4587.67"
"01/01/2026 22:15:00 - 01/01/2026 22:30:00","Germany (DE)","Fossil Gas","4574.29"
"01/01/2026 22:30:00 - 01/01/2026 22:45:00","Germany (DE)","Fossil Gas","4602.39"
"01/01/2026 22:45:00 - 01/01/2026 23:00:00","Germany (DE)","Fossil Gas","4564.49"
"01/01/2026 23:00:00 - 01/01/2026 23:15:00","Germany (DE)","Fossil Gas","4326.55"
"01/01/2026 23:15:00 - 01/01/2026 23:30:00","Germany (DE)","Fossil Gas","4286.19"
"01/01/2026 23:30:00 - 01/01/2026 23:45:00","Germany (DE)","Fossil Gas","4258.64"
"01/01/2026 23:45:00 - 02/01/2026 00:00:00","Germany (DE)","Fossil Gas","4362.13"
"02/01/2026 00:00:00 - 02/01/2026 00:15:00","Germany (DE)","Fossil Gas","4489.11"
"02/01/2026 00:15:00 - 02/01/2026 00:30:00","Germany (DE)","Fossil Gas","4711.90"
"02/01/2026 00:30:00 - 02/01/2026 00:45:00","Germany (DE)","Fossil Gas","4676.73"
"02/01/2026 00:45:00 - 02/01/2026 01:00:00","Germany (DE)","Fossil Gas","4679.97"
"02/01/2026 01:00:00 - 02/01/2026 01:15:00","Germany (DE)","Fossil Gas","4489.24"
"02/01/2026 01:15:00 - 02/01/2026 01:30:00","Germany (DE)","Fossil Gas","4504.75"
"02/01/2026 01:30:00 - 02/01/2026 01:45:00","Germany (DE)","Fossil Gas","4518.24"
"02/01/2026 01:45:00 - 02/01/2026 02:00:00","Germany (DE)","Fossil Gas","4570.15"
"02/01/2026 02:00:00 - 02/01/2026 02:15:00","Germany (DE)","Fossil Gas","4431.15"
"02/01/2026 02:15:00 - 02/01/2026 02:30:00","Germany (DE)","Fossil Gas","4433.19"
"02/01/2026 02:30:00 - 02/01/2026 02:45:00","Germany (DE)","Fossil Gas","4444.55"
"02/01/2026 02:45:00 - 02/01/2026 03:00:00","Germany (DE)","Fossil Gas","4478.70"
"02/01/2026 03:00:00 - 02/01/2026 03:15:00","Germany (DE)","Fossil Gas","4524.07"
"02/01/2026 03:15:00 - 02/01/2026 03:30:00","Germany (DE)","Fossil Gas","4533.26"
"02/01/2026 03:30:00 - 02/01/2026 03:45:00","Germany (DE)","Fossil Gas","4549.35"
"02/01/2026 03:45:00 - 02/01/2026 04:00:00","Germany (DE)","Fossil Gas","4658.54"
"02/01/2026 04:00:00 - 02/01/2026 04:15:00","Germany (DE)","Fossil Gas","4823.98"
"02/01/2026 04:15:00 - 02/01/2026 04:30:00","Germany (DE)","Fossil Gas","4848.88"
"02/01/2026 04:30:00 - 02/01/2026 04:45:00","Germany (DE)","Fossil Gas","4896.17"
"02/01/2026 04:45:00 - 02/01/2026 05:00:00","Germany (DE)","Fossil Gas","4988.32"
"02/01/2026 05:00:00 - 02/01/2026 05:15:00","Germany (DE)","Fossil Gas","5086.86"
"02/01/2026 05:15:00 - 02/01/2026 05:30:00","Germany (DE)","Fossil Gas","5339.52"
"02/01/2026 05:30:00 - 02/01/2026 05:45:00","Germany (DE)","Fossil Gas","5594.75"
"02/01/2026 05:45:00 - 02/01/2026 06:00:00","Germany (DE)","Fossil Gas","5699.65"
"02/01/2026 06:00:00 - 02/01/2026 06:15:00","Germany (DE)","Fossil Gas","5692.53"
"02/01/2026 06:15:00 - 02/01/2026 06:30:00","Germany (DE)","Fossil Gas","5871.30"
"02/01/2026 06:30:00 - 02/01/2026 06:45:00","Germany (DE)","Fossil Gas","5998.79"
"02/01/2026 06:45:00 - 02/01/2026 07:00:00","Germany (DE)","Fossil Gas","6128.48"
"02/01/2026 07:00:00 - 02/01/2026 07:15:00","Germany (DE)","Fossil Gas","6532.52"
"02/01/2026 07:15:00 - 02/01/2026 07:30:00","Germany (DE)","Fossil Gas","6591.98"
"02/01/2026 07:30:00 - 02/01/2026 07:45:00","Germany (DE)","Fossil Gas","6844.55"
"02/01/2026 07:45:00 - 02/01/2026 08:00:00","Germany (DE)","Fossil Gas","6963.77"
"02/01/2026 08:00:00 - 02/01/2026 08:15:00","Germany (DE)","Fossil Gas","7123.69"
"02/01/2026 08:15:00 - 02/01/2026 08:30:00","Germany (DE)","Fossil Gas","7189.90"
"02/01/2026 08:30:00 - 02/01/2026 08:45:00","Germany (DE)","Fossil Gas","7263.83"
"02/01/2026 08:45:00 - 02/01/2026 09:00:00","Germany (DE)","Fossil Gas","7280.60"
"02/01/2026 09:00:00 - 02/01/2026 09:15:00","Germany (DE)","Fossil Gas","7381.71"
"02/01/2026 09:15:00 - 02/01/2026 09:30:00","Germany (DE)","Fossil Gas","7290.96"
"02/01/2026 09:30:00 - 02/01/2026 09:45:00","Germany (DE)","Fossil Gas","7291.81"
"02/01/2026 09:45:00 - 02/01/2026 10:00:00","Germany (DE)","Fossil Gas","7283.19"
"02/01/2026 10:00:00 - 02/01/2026 10:15:00","Germany (DE)","Fossil Gas","7226.67"
"02/01/2026 10:15:00 - 02/01/2026 10:30:00","Germany (DE)","Fossil Gas","7263.61"
"02/01/2026 10:30:00 - 02/01/2026 10:45:00","Germany (DE)","Fossil Gas","7276.98"
"02/01/2026 10:45:00 - 02/01/2026 11:00:00","Germany (DE)","Fossil Gas","7303.67"
"02/01/2026 11:00:00 - 02/01/2026 11:15:00","Germany (DE)","Fossil Gas","7264.88"
"02/01/2026 11:15:00 - 02/01/2026 11:30:00","Germany (DE)","Fossil Gas","7314.72"
"02/01/2026 11:30:00 - 02/01/2026 11:45:00","Germany (DE)","Fossil Gas","7307.26"
"02/01/2026 11:45:00 - 02/01/2026 12:00:00","Germany (DE)","Fossil Gas","7314.99"
"02/01/2026 12:00:00 - 02/01/2026 12:15:00","Germany (DE)","Fossil Gas","7359.59"
"02/01/2026 12:15:00 - 02/01/2026 12:30:00","Germany (DE)","Fossil Gas","7370.81"
"02/01/2026 12:30:00 - 02/01/2026 12:45:00","Germany (DE)","Fossil Gas","7378.87"
"02/01/2026 12:45:00 - 02/01/2026 13:00:00","Germany (DE)","Fossil Gas","7243.54"
"02/01/2026 13:00:00 - 02/01/2026 13:15:00","Germany (DE)","Fossil Gas","7272.83"
"02/01/2026 13:15:00 - 02/01/2026 13:30:00","Germany (DE)","Fossil Gas","7258.66"
"02/01/2026 13:30:00 - 02/01/2026 13:45:00","Germany (DE)","Fossil Gas","7363.94"
"02/01/2026 13:45:00 - 02/01/2026 14:00:00","Germany (DE)","Fossil Gas","7408.25"
"02/01/2026 14:00:00 - 02/01/2026 14:15:00","Germany (DE)","Fossil Gas","7565.29"
"02/01/2026 14:15:00 - 02/01/2026 14:30:00","Germany (DE)","Fossil Gas","7571.62"
"02/01/2026 14:30:00 - 02/01/2026 14:45:00","Germany (DE)","Fossil Gas","7657.45"
"02/01/2026 14:45:00 - 02/01/2026 15:00:00","Germany (DE)","Fossil Gas","7820.66"
"02/01/2026 15:00:00 - 02/01/2026 15:15:00","Germany (DE)","Fossil Gas","8165.20"
"02/01/2026 15:15:00 - 02/01/2026 15:30:00","Germany (DE)","Fossil Gas","8185.21"
"02/01/2026 15:30:00 - 02/01/2026 15:45:00","Germany (DE)","Fossil Gas","8210.85"
"02/01/2026 15:45:00 - 02/01/2026 16:00:00","Germany (DE)","Fossil Gas","8078.74"
"02/01/2026 16:00:00 - 02/01/2026 16:15:00","Germany (DE)","Fossil Gas","8261.11"
"02/01/2026 16:15:00 - 02/01/2026 16:30:00","Germany (DE)","Fossil Gas","8300.98"
"02/01/2026 16:30:00 - 02/01/2026 16:45:00","Germany (DE)","Fossil Gas","8396.40"
"02/01/2026 16:45:00 - 02/01/2026 17:00:00","Germany (DE)","Fossil Gas","8419.10"
"02/01/2026 17:00:00 - 02/01/2026 17:15:00","Germany (DE)","Fossil Gas","8418.02"
"02/01/2026 17:15:00 - 02/01/2026 17:30:00","Germany (DE)","Fossil Gas","8430.65"
"02/01/2026 17:30:00 - 02/01/2026 17:45:00","Germany (DE)","Fossil Gas","8458.21"
"02/01/2026 17:45:00 - 02/01/2026 18:00:00","Germany (DE)","Fossil Gas","8530.87"
"02/01/2026 18:00:00 - 02/01/2026 18:15:00","Germany (DE)","Fossil Gas","8554.43"
"02/01/2026 18:15:00 - 02/01/2026 18:30:00","Germany (DE)","Fossil Gas","8578.90"
"02/01/2026 18:30:00 - 02/01/2026 18:45:00","Germany (DE)","Fossil Gas","8605.32"
"02/01/2026 18:45:00 - 02/01/2026 19:00:00","Germany (DE)","Fossil Gas","8578.50"
"02/01/2026 19:00:00 - 02/01/2026 19:15:00","Germany (DE)","Fossil Gas","8580.82"
"02/01/2026 19:15:00 - 02/01/2026 19:30:00","Germany (DE)","Fossil Gas","8578.76"
"02/01/2026 19:30:00 - 02/01/2026 19:45:00","Germany (DE)","Fossil Gas","8578.20"
"02/01/2026 19:45:00 - 02/01/2026 20:00:00","Germany (DE)","Fossil Gas","8703.11"
"02/01/2026 20:00:00 - 02/01/2026 20:15:00","Germany (DE)","Fossil Gas","8687.81"
"02/01/2026 20:15:00 - 02/01/2026 20:30:00","Germany (DE)","Fossil Gas","8665.78"
"02/01/2026 20:30:00 - 02/01/2026 20:45:00","Germany (DE)","Fossil Gas","8642.47"
"02/01/2026 20:45:00 - 02/01/2026 21:00:00","Germany (DE)","Fossil Gas","8654.60"
"02/01/2026 21:00:00 - 02/01/2026 21:15:00","Germany (DE)","Fossil Gas","8580.23"
"02/01/2026 21:15:00 - 02/01/2026 21:30:00","Germany (DE)","Fossil Gas","8555.98"
"02/01/2026 21:30:00 - 02/01/2026 21:45:00","Germany (DE)","Fossil Gas","8520.99"
"02/01/2026 21:45:00 - 02/01/2026 22:00:00","Germany (DE)","Fossil Gas","8528.49"
"02/01/2026 22:00:00 - 02/01/2026 22:15:00","Germany (DE)","Fossil Gas","8550.94"
"02/01/2026 22:15:00 - 02/01/2026 22:30:00","Germany (DE)","Fossil Gas","8476.15"
"02/01/2026 22:30:00 - 02/01/2026 22:45:00","Germany (DE)","Fossil Gas","8445.29"
"02/01/2026 22:45:00 - 02/01/2026 23:00:00","Germany (DE)","Fossil Gas","8353.62"
"02/01/2026 23:00:00 - 02/01/2026 23:15:00","Germany (DE)","Fossil Gas","8129.04"
"02/01/2026 23:15:00 - 02/01/2026 23:30:00","Germany (DE)","Fossil Gas","8095.43"
"02/01/2026 23:30:00 - 02/01/2026 23:45:00","Germany (DE)","Fossil Gas","8068.75"
"02/01/2026 23:45:00 - 03/01/2026 00:00:00","Germany (DE)","Fossil Gas","8058.63"
"03/01/2026 00:00:00 - 03/01/2026 00:15:00","Germany (DE)","Fossil Gas","7510.62"
"03/01/2026 00:15:00 - 03/01/2026 00:30:00","Germany (DE)","Fossil Gas","7293.82"
"03/01/2026 00:30:00 - 03/01/2026 00:45:00","Germany (DE)","Fossil Gas","7138.45"
"03/01/2026 00:45:00 - 03/01/2026 01:00:00","Germany (DE)","Fossil Gas","7082.91"
"03/01/2026 01:00:00 - 03/01/2026 01:15:00","Germany (DE)","Fossil Gas","6949.42"
"03/01/2026 01:15:00 - 03/01/2026 01:30:00","Germany (DE)","Fossil Gas","6918.69"
"03/01/2026 01:30:00 - 03/01/2026 01:45:00","Germany (DE)","Fossil Gas","6907.41"
"03/01/2026 01:45:00 - 03/01/2026 02:00:00","Germany (DE)","Fossil Gas","6987.45"
"03/01/2026 02:00:00 - 03/01/2026 02:15:00","Germany (DE)","Fossil Gas","7061.00"
"03/01/2026 02:15:00 - 03/01/2026 02:30:00","Germany (DE)","Fossil Gas","7092.31"
"03/01/2026 02:30:00 - 03/01/2026 02:45:00","Germany (DE)","Fossil Gas","7051.81"
"03/01/2026 02:45:00 - 03/01/2026 03:00:00","Germany (DE)","Fossil Gas","7016.14"
"03/01/2026 03:00:00 - 03/01/2026 03:15:00","Germany (DE)","Fossil Gas","6874.45"
"03/01/2026 03:15:00 - 03/01/2026 03:30:00","Germany (DE)","Fossil Gas","6948.04"
"03/01/2026 03:30:00 - 03/01/2026 03:45:00","Germany (DE)","Fossil Gas","6948.75"
"03/01/2026 03:45:00 - 03/01/2026 04:00:00","Germany (DE)","Fossil Gas","7008.05"
"03/01/2026 04:00:00 - 03/01/2026 04:15:00","Germany (DE)","Fossil Gas","6926.91"
"03/01/2026 04:15:00 - 03/01/2026 04:30:00","Germany (DE)","Fossil Gas","6949.65"
"03/01/2026 04:30:00 - 03/01/2026 04:45:00","Germany (DE)","Fossil Gas","6945.21"
"03/01/2026 04:45:00 - 03/01/2026 05:00:00","Germany (DE)","Fossil Gas","6995.36"
"03/01/2026 05:00:00 - 03/01/2026 05:15:00","Germany (DE)","Fossil Gas","7058.73"
"03/01/2026 05:15:00 - 03/01/2026 05:30:00","Germany (DE)","Fossil Gas","7162.02"
"03/01/2026 05:30:00 - 03/01/2026 05:45:00","Germany (DE)","Fossil Gas","7176.58"
"03/01/2026 05:45:00 - 03/01/2026 06:00:00","Germany (DE)","Fossil Gas","7229.97"
"03/01/2026 06:00:00 - 03/01/2026 06:15:00","Germany (DE)","Fossil Gas","7643.64"
"03/01/2026 06:15:00 - 03/01/2026 06:30:00","Germany (DE)","Fossil Gas","7760.82"
"03/01/2026 06:30:00 - 03/01/2026 06:45:00","Germany (DE)","Fossil Gas","8050.60"
"03/01/2026 06:45:00 - 03/01/2026 07:00:00","Germany (DE)","Fossil Gas","8242.76"
"03/01/2026 07:00:00 - 03/01/2026 07:15:00","Germany (DE)","Fossil Gas","8246.47"
"03/01/2026 07:15:00 - 03/01/2026 07:30:00","Germany (DE)","Fossil Gas","8374.63"
"03/01/2026 07:30:00 - 03/01/2026 07:45:00","Germany (DE)","Fossil Gas","8457.62"
"03/01/2026 07:45:00 - 03/01/2026 08:00:00","Germany (DE)","Fossil Gas","8663.82"
"03/01/2026 08:00:00 - 03/01/2026 08:15:00","Germany (DE)","Fossil Gas","8812.11"
"03/01/2026 08:15:00 - 03/01/2026 08:30:00","Germany (DE)","Fossil Gas","8893.77"
"03/01/2026 08:30:00 - 03/01/2026 08:45:00","Germany (DE)","Fossil Gas","8946.81"
"03/01/2026 08:45:00 - 03/01/2026 09:00:00","Germany (DE)","Fossil Gas","9033.97"
"03/01/2026 09:00:00 - 03/01/2026 09:15:00","Germany (DE)","Fossil Gas","9292.47"
"03/01/2026 09:15:00 - 03/01/2026 09:30:00","Germany (DE)","Fossil Gas","9325.75"
"03/01/2026 09:30:00 - 03/01/2026 09:45:00","Germany (DE)","Fossil Gas","9310.53"
"03/01/2026 09:45:00 - 03/01/2026 10:00:00","Germany (DE)","Fossil Gas","9279.02"
"03/01/2026 10:00:00 - 03/01/2026 10:15:00","Germany (DE)","Fossil Gas","9318.57"
"03/01/2026 10:15:00 - 03/01/2026 10:30:00","Germany (DE)","Fossil Gas","9301.62"
"03/01/2026 10:30:00 - 03/01/2026 10:45:00","Germany (DE)","Fossil Gas","9324.44"
"03/01/2026 10:45:00 - 03/01/2026 11:00:00","Germany (DE)","Fossil Gas","9336.98"
"03/01/2026 11:00:00 - 03/01/2026 11:15:00","Germany (DE)","Fossil Gas","9310.38"
"03/01/2026 11:15:00 - 03/01/2026 11:30:00","Germany (DE)","Fossil Gas","9320.40"
"03/01/2026 11:30:00 - 03/01/2026 11:45:00","Germany (DE)","Fossil Gas","9359.71"
"03/01/2026 11:45:00 - 03/01/2026 12:00:00","Germany (DE)","Fossil Gas","9325.40"
"03/01/2026 12:00:00 - 03/01/2026 12:15:00","Germany (DE)","Fossil Gas","9261.81"
"03/01/2026 12:15:00 - 03/01/2026 12:30:00","Germany (DE)","Fossil Gas","9210.27"
"03/01/2026 12:30:00 - 03/01/2026 12:45:00","Germany (DE)","Fossil Gas","9203.35"
"03/01/2026 12:45:00 - 03/01/2026 13:00:00","Germany (DE)","Fossil Gas","9148.53"
"03/01/2026 13:00:00 - 03/01/2026 13:15:00","Germany (DE)","Fossil Gas","9012.91"
"03/01/2026 13:15:00 - 03/01/2026 13:30:00","Germany (DE)","Fossil Gas","9280.10"
"03/01/2026 13:30:00 - 03/01/2026 13:45:00","Germany (DE)","Fossil Gas","9274.51"
"03/01/2026 13:45:00 - 03/01/2026 14:00:00","Germany (DE)","Fossil Gas","9313.94"
"03/01/2026 14:00:00 - 03/01/2026 14:15:00","Germany (DE)","Fossil Gas","9320.08"
"03/01/2026 14:15:00 - 03/01/2026 14:30:00","Germany (DE)","Fossil Gas","9382.57"
"03/01/2026 14:30:00 - 03/01/2026 14:45:00","Germany (DE)","Fossil Gas","9380.61"
"03/01/2026 14:45:00 - 03/01/2026 15:00:00","Germany (DE)","Fossil Gas","9466.20"
"03/01/2026 15:00:00 - 03/01/2026 15:15:00","Germany (DE)","Fossil Gas","9756.24"
"03/01/2026 15:15:00 - 03/01/2026 15:30:00","Germany (DE)","Fossil Gas","9807.35"
"03/01/2026 15:30:00 - 03/01/2026 15:45:00","Germany (DE)","Fossil Gas","9807.51"
"03/01/2026 15:45:00 - 03/01/2026 16:00:00","Germany (DE)","Fossil Gas","9847.26"
"03/01/2026 16:00:00 - 03/01/2026 16:15:00","Germany (DE)","Fossil Gas","9967.45"
"03/01/2026 16:15:00 - 03/01/2026 16:30:00","Germany (DE)","Fossil Gas","9947.79"
"03/01/2026 16:30:00 - 03/01/2026 16:45:00","Germany (DE)","Fossil Gas","9978.58"
"03/01/2026 16:45:00 - 03/01/2026 17:00:00","Germany (DE)","Fossil Gas","10010.20"
"03/01/2026 17:00:00 - 03/01/2026 17:15:00","Germany (DE)","Fossil Gas","10122.52"
"03/01/2026 17:15:00 - 03/01/2026 17:30:00","Germany (DE)","Fossil Gas","10162.46"
"03/01/2026 17:30:00 - 03/01/2026 17:45:00","Germany (DE)","Fossil Gas","10161.89"
"03/01/2026 17:45:00 - 03/01/2026 18:00:00","Germany (DE)","Fossil Gas","10131.92"
"03/01/2026 18:00:00 - 03/01/2026 18:15:00","Germany (DE)","Fossil Gas","10106.08"
"03/01/2026 18:15:00 - 03/01/2026 18:30:00","Germany (DE)","Fossil Gas","10089.44"
"03/01/2026 18:30:00 - 03/01/2026 18:45:00","Germany (DE)","Fossil Gas","10079.55"
"03/01/2026 18:45:00 - 03/01/2026 19:00:00","Germany (DE)","Fossil Gas","9950.41"
"03/01/2026 19:00:00 - 03/01/2026 19:15:00","Germany (DE)","Fossil Gas","9978.23"
"03/01/2026 19:15:00 - 03/01/2026 19:30:00","Germany (DE)","Fossil Gas","10036.76"
"03/01/2026 19:30:00 - 03/01/2026 19:45:00","Germany (DE)","Fossil Gas","9932.48"
"03/01/2026 19:45:00 - 03/01/2026 20:00:00","Germany (DE)","Fossil Gas","9811.90"
"03/01/2026 20:00:00 - 03/01/2026 20:15:00","Germany (DE)","Fossil Gas","9745.28"
"03/01/2026 20:15:00 - 03/01/2026 20:30:00","Germany (DE)","Fossil Gas","9626.02"
"03/01/2026 20:30:00 - 03/01/2026 20:45:00","Germany (DE)","Fossil Gas","9596.63"
"03/01/2026 20:45:00 - 03/01/2026 21:00:00","Germany (DE)","Fossil Gas","9699.77"
"03/01/2026 21:00:00 - 03/01/2026 21:15:00","Germany (DE)","Fossil Gas","9726.57"
"03/01/2026 21:15:00 - 03/01/2026 21:30:00","Germany (DE)","Fossil Gas","9715.13"
"03/01/2026 21:30:00 - 03/01/2026 21:45:00","Germany (DE)","Fossil Gas","9668.33"
"03/01/2026 21:45:00 - 03/01/2026 22:00:00","Germany (DE)","Fossil Gas","9662.73"
"03/01/2026 22:00:00 - 03/01/2026 22:15:00","Germany (DE)","Fossil Gas","9593.19"
"03/01/2026 22:15:00 - 03/01/2026 22:30:00","Germany (DE)","Fossil Gas","9598.09"
"03/01/2026 22:30:00 - 03/01/2026 22:45:00","Germany (DE)","Fossil Gas","9612.03"
"03/01/2026 22:45:00 - 03/01/2026 23:00:00","Germany (DE)","Fossil Gas","9597.79"
"03/01/2026 23:00:00 - 03/01/2026 23:15:00","Germany (DE)","Fossil Gas","9468.47"
"03/01/2026 23:15:00 - 03/01/2026 23:30:00","Germany (DE)","Fossil Gas","9498.59"
"03/01/2026 23:30:00 - 03/01/2026 23:45:00","Germany (DE)","Fossil Gas","9518.68"
"03/01/2026 23:45:00 - 04/01/2026 00:00:00","Germany (DE)","Fossil Gas","9548.89"
"04/01/2026 00:00:00 - 04/01/2026 00:15:00","Germany (DE)","Fossil Gas","8955.89"
"04/01/2026 00:15:00 - 04/01/2026 00:30:00","Germany (DE)","Fossil Gas","9107.69"
"04/01/2026 00:30:00 - 04/01/2026 00:45:00","Germany (DE)","Fossil Gas","9117.56"
"04/01/2026 00:45:00 - 04/01/2026 01:00:00","Germany (DE)","Fossil Gas","8988.91"
"04/01/2026 01:00:00 - 04/01/2026 01:15:00","Germany (DE)","Fossil Gas","8923.44"
"04/01/2026 01:15:00 - 04/01/2026 01:30:00","Germany (DE)","Fossil Gas","8843.58"
"04/01/2026 01:30:00 - 04/01/2026 01:45:00","Germany (DE)","Fossil Gas","8791.22"
"04/01/2026 01:45:00 - 04/01/2026 02:00:00","Germany (DE)","Fossil Gas","8999.91"
"04/01/2026 02:00:00 - 04/01/2026 02:15:00","Germany (DE)","Fossil Gas","9313.52"
"04/01/2026 02:15:00 - 04/01/2026 02:30:00","Germany (DE)","Fossil Gas","9322.13"
"04/01/2026 02:30:00 - 04/01/2026 02:45:00","Germany (DE)","Fossil Gas","9285.37"
"04/01/2026 02:45:00 - 04/01/2026 03:00:00","Germany (DE)","Fossil Gas","9262.58"
"04/01/2026 03:00:00 - 04/01/2026 03:15:00","Germany (DE)","Fossil Gas","9262.87"
"04/01/2026 03:15:00 - 04/01/2026 03:30:00","Germany (DE)","Fossil Gas","9244.75"
"04/01/2026 03:30:00 - 04/01/2026 03:45:00","Germany (DE)","Fossil Gas","9247.94"
"04/01/2026 03:45:00 - 04/01/2026 04:00:00","Germany (DE)","Fossil Gas","9221.46"
"04/01/2026 04:00:00 - 04/01/2026 04:15:00","Germany (DE)","Fossil Gas","9129.08"
"04/01/2026 04:15:00 - 04/01/2026 04:30:00","Germany (DE)","Fossil Gas","8713.56"
"04/01/2026 04:30:00 - 04/01/2026 04:45:00","Germany (DE)","Fossil Gas","8722.59"
"04/01/2026 04:45:00 - 04/01/2026 05:00:00","Germany (DE)","Fossil Gas","8827.54"
"04/01/2026 05:00:00 - 04/01/2026 05:15:00","Germany (DE)","Fossil Gas","9168.72"
"04/01/2026 05:15:00 - 04/01/2026 05:30:00","Germany (DE)","Fossil Gas","9180.18"
"04/01/2026 05:30:00 - 04/01/2026 05:45:00","Germany (DE)","Fossil Gas","9183.67"
"04/01/2026 05:45:00 - 04/01/2026 06:00:00","Germany (DE)","Fossil Gas","9266.52"
"04/01/2026 06:00:00 - 04/01/2026 06:15:00","Germany (DE)","Fossil Gas","9276.86"
"04/01/2026 06:15:00 - 04/01/2026 06:30:00","Germany (DE)","Fossil Gas","9287.60"
"04/01/2026 06:30:00 - 04/01/2026 06:45:00","Germany (DE)","Fossil Gas","9334.82"
"04/01/2026 06:45:00 - 04/01/2026 07:00:00","Germany (DE)","Fossil Gas","9343.95"
"04/01/2026 07:00:00 - 04/01/2026 07:15:00","Germany (DE)","Fossil Gas","9490.00"
"04/01/2026 07:15:00 - 04/01/2026 07:30:00","Germany (DE)","Fossil Gas","9517.52"
"04/01/2026 07:30:00 - 04/01/2026 07:45:00","Germany (DE)","Fossil Gas","9575.46"
"04/01/2026 07:45:00 - 04/01/2026 08:00:00","Germany (DE)","Fossil Gas","9588.04"
"04/01/2026 08:00:00 - 04/01/2026 08:15:00","Germany (DE)","Fossil Gas","9603.12"
"04/01/2026 08:15:00 - 04/01/2026 08:30:00","Germany (DE)","Fossil Gas","9625.10"
"04/01/2026 08:30:00 - 04/01/2026 08:45:00","Germany (DE)","Fossil Gas","9612.05"
"04/01/2026 08:45:00 - 04/01/2026 09:00:00","Germany (DE)","Fossil Gas","9587.14"
"04/01/2026 09:00:00 - 04/01/2026 09:15:00","Germany (DE)","Fossil Gas","9659.93"
"04/01/2026 09:15:00 - 04/01/2026 09:30:00","Germany (DE)","Fossil Gas","9636.12"
"04/01/2026 09:30:00 - 04/01/2026 09:45:00","Germany (DE)","Fossil Gas","9634.38"
"04/01/2026 09:45:00 - 04/01/2026 10:00:00","Germany (DE)","Fossil Gas","9621.01"
"04/01/2026 10:00:00 - 04/01/2026 10:15:00","Germany (DE)","Fossil Gas","9693.28"
"04/01/2026 10:15:00 - 04/01/2026 10:30:00","Germany (DE)","Fossil Gas","9649.14"
"04/01/2026 10:30:00 - 04/01/2026 10:45:00","Germany (DE)","Fossil Gas","9643.34"
"04/01/2026 10:45:00 - 04/01/2026 11:00:00","Germany (DE)","Fossil Gas","9656.75"
"04/01/2026 11:00:00 - 04/01/2026 11:15:00","Germany (DE)","Fossil Gas","9707.16"
"04/01/2026 11:15:00 - 04/01/2026 11:30:00","Germany (DE)","Fossil Gas","9717.49"
"04/01/2026 11:30:00 - 04/01/2026 11:45:00","Germany (DE)","Fossil Gas","9694.56"
"04/01/2026 11:45:00 - 04/01/2026 12:00:00","Germany (DE)","Fossil Gas","9683.10"
"04/01/2026 12:00:00 - 04/01/2026 12:15:00","Germany (DE)","Fossil Gas","9726.35"
"04/01/2026 12:15:00 - 04/01/2026 12:30:00","Germany (DE)","Fossil Gas","9757.98"
"04/01/2026 12:30:00 - 04/01/2026 12:45:00","Germany (DE)","Fossil Gas","9713.76"
"04/01/2026 12:45:00 - 04/01/2026 13:00:00","Germany (DE)","Fossil Gas","9706.83"
"04/01/2026 13:00:00 - 04/01/2026 13:15:00","Germany (DE)","Fossil Gas","9479.09"
"04/01/2026 13:15:00 - 04/01/2026 13:30:00","Germany (DE)","Fossil Gas","9319.33"
"04/01/2026 13:30:00 - 04/01/2026 13:45:00","Germany (DE)","Fossil Gas","9375.35"
"04/01/2026 13:45:00 - 04/01/2026 14:00:00","Germany (DE)","Fossil Gas","9534.40"
"04/01/2026 14:00:00 - 04/01/2026 14:15:00","Germany (DE)","Fossil Gas","9996.06"
"04/01/2026 14:15:00 - 04/01/2026 14:30:00","Germany (DE)","Fossil Gas","10257.62"
"04/01/2026 14:30:00 - 04/01/2026 14:45:00","Germany (DE)","Fossil Gas","10614.85"
"04/01/2026 14:45:00 - 04/01/2026 15:00:00","Germany (DE)","Fossil Gas","10963.11"
"04/01/2026 15:00:00 - 04/01/2026 15:15:00","Germany (DE)","Fossil Gas","11563.29"
"04/01/2026 15:15:00 - 04/01/2026 15:30:00","Germany (DE)","Fossil Gas","11946.10"
"04/01/2026 15:30:00 - 04/01/2026 15:45:00","Germany (DE)","Fossil Gas","12071.49"
"04/01/2026 15:45:00 - 04/01/2026 16:00:00","Germany (DE)","Fossil Gas","12227.11"
"04/01/2026 16:00:00 - 04/01/2026 16:15:00","Germany (DE)","Fossil Gas","12994.71"
"04/01/2026 16:15:00 - 04/01/2026 16:30:00","Germany (DE)","Fossil Gas","13345.55"
"04/01/2026 16:30:00 - 04/01/2026 16:45:00","Germany (DE)","Fossil Gas","13405.31"
"04/01/2026 16:45:00 - 04/01/2026 17:00:00","Germany (DE)","Fossil Gas","13432.68"
"04/01/2026 17:00:00 - 04/01/2026 17:15:00","Germany (DE)","Fossil Gas","13524.47"
"04/01/2026 17:15:00 - 04/01/2026 17:30:00","Germany (DE)","Fossil Gas","13545.75"
